year	month	day	monthday	link	city	state	Concert	Keep	day
2014	5	2	May 30	=HYPERLINK("http://localhost:8000/2014/06/02/20140602-201212/IMG_8504.MOV")	Seattle	Washington		keep	2
2014	5	3	May 31	=HYPERLINK("http://localhost:8000/2014/06/02/20140602-201212/IMG_8636.MOV")	Seattle	Washington		keep	3
2014	6	4	Jun 1	=HYPERLINK("http://localhost:8000/2014/06/02/20140602-201212/IMG_8724.MOV")	Seattle	Washington		keep	4
2014	6	5	Jun 2	=HYPERLINK("http://localhost:8000/2014/06/02/20140602-201212/IMG_8822.MOV")	Seattle	Washington		keep	5
2014	6	118	Jun 3	=HYPERLINK("http://localhost:8000/2014/07/24/20140724-191511/IMG_8832.MOV")	Washington	District of Columbia		keep	118
2014	6	119	Jun 4	=HYPERLINK("http://localhost:8000/2014/07/24/20140724-191511/IMG_8844.MOV")	Washington	District of Columbia		keep	119
2014	6	120	Jun 5	=HYPERLINK("http://localhost:8000/2014/07/24/20140724-191511/IMG_8870.MOV")	Washington	District of Columbia		keep	120
2014	6	1	Jun 6	=HYPERLINK("http://localhost:8000/2014/07/24/20140724-191511/IMG_9070.MOV")	Williamstown	Massachusetts		keep	1
2014	6	2	Jun 7	=HYPERLINK("http://localhost:8000/2014/07/24/20140724-191511/IMG_8897.MOV")	Williamstown	Massachusetts		keep	2
2014	6	3	Jun 8	=HYPERLINK("http://localhost:8000/2014/07/24/20140724-191511/IMG_9024.MOV")	Williamstown	Massachusetts		keep	3
2014	6	4	Jun 9	=HYPERLINK("http://localhost:8000/2014/07/24/20140724-191511/IMG_9080.MOV")	Williamstown	Massachusetts		keep	4
2014	6	121	Jun 10	=HYPERLINK("http://localhost:8000/2014/07/24/20140724-191511/IMG_9109.MOV")	Washington	District of Columbia		keep	121
2014	6	122	Jun 11	=HYPERLINK("http://localhost:8000/2014/07/24/20140724-191511/IMG_9119.MOV")	Washington	District of Columbia		keep	122
2014	6	7	Jun 12	=HYPERLINK("http://localhost:8000/2014/07/24/20140724-191511/IMG_9152.MOV")	Annandale	Virginia		keep	7
2014	6	1	Jun 13	=HYPERLINK("http://localhost:8000/2014/07/24/20140724-191511/IMG_9279.MOV")	Charlottesville	Virginia		keep	1
2014	6	2	Jun 14	=HYPERLINK("http://localhost:8000/2014/07/24/20140724-191511/IMG_9330.MOV")	Charlottesville	Virginia		keep	2
2014	6	3	Jun 15	=HYPERLINK("http://localhost:8000/2014/07/24/20140724-191511/IMG_9348.MOV")	Charlottesville	Virginia		keep	3
2014	6	123	Jun 16	=HYPERLINK("http://localhost:8000/2014/07/24/20140724-191511/IMG_9500.MOV")	Washington	District of Columbia		keep	123
2014	6	124	Jun 17	=HYPERLINK("http://localhost:8000/2014/07/24/20140724-191511/IMG_9508.MOV")	Washington	District of Columbia		keep	124
2014	6	125	Jun 18	=HYPERLINK("http://localhost:8000/2014/07/24/20140724-191511/IMG_9555.MOV")	Washington	District of Columbia		keep	125
2014	6	126	Jun 19	=HYPERLINK("http://localhost:8000/2014/07/24/20140724-191511/IMG_9503.MOV")	Washington	District of Columbia		keep	126
2014	6	127	Jun 20	=HYPERLINK("http://localhost:8000/2014/07/24/20140724-191511/IMG_9650.MOV")	Washington	District of Columbia		keep	127
2014	6	1	Jun 21	=HYPERLINK("http://localhost:8000/2014/07/24/20140724-191511/IMG_9673.MOV")	Atlantic City	New Jersey		keep	1
2014	6	2	Jun 22	=HYPERLINK("http://localhost:8000/2014/07/24/20140724-191511/IMG_9745.MOV")	Atlantic City	New Jersey		keep	2
2014	6	128	Jun 23	=HYPERLINK("http://localhost:8000/2014/07/24/20140724-191511/IMG_9809.MOV")	Washington	District of Columbia		keep	128
2014	6	129	Jun 24	=HYPERLINK("http://localhost:8000/2014/07/24/20140724-191511/IMG_9829.MOV")	Washington	District of Columbia		keep	129
2014	6	130	Jun 25	=HYPERLINK("http://localhost:8000/2014/07/24/20140724-191511/IMG_9848.MOV")	Washington	District of Columbia		keep	130
2014	6	131	Jun 26	=HYPERLINK("http://localhost:8000/2014/07/24/20140724-191511/IMG_9870.MOV")	Washington	District of Columbia		keep	131
2014	6	132	Jun 27	=HYPERLINK("http://localhost:8000/2014/07/24/20140724-191511/IMG_9876.MOV")	Washington	District of Columbia		keep	132
2014	6	133	Jun 28	=HYPERLINK("http://localhost:8000/2014/07/24/20140724-191511/IMG_9874.MOV")	Washington	District of Columbia		keep	133
2014	6	134	Jun 29	=HYPERLINK("http://localhost:8000/2014/07/24/20140724-191511/IMG_9964.MOV")	Washington	District of Columbia		keep	134
2014	6	1	Jun 30	=HYPERLINK("http://localhost:8000/2014/07/24/20140724-191511/IMG_0001.MOV")	Oak Island	North Carolina		keep	1
2014	7	2	Jul 1	=HYPERLINK("http://localhost:8000/2014/07/24/20140724-191511/IMG_0026.MOV")	Oak Island	North Carolina		keep	2
2014	7	3	Jul 2	=HYPERLINK("http://localhost:8000/2014/07/24/20140724-191511/IMG_0069.MOV")	Oak Island	North Carolina		keep	3
2014	7	4	Jul 3	=HYPERLINK("http://localhost:8000/2014/07/24/20140724-191511/IMG_0072.MOV")	Oak Island	North Carolina		keep	4
2014	7	5	Jul 4	=HYPERLINK("http://localhost:8000/2014/07/24/20140724-191511/IMG_0184.MOV")	Oak Island	North Carolina		keep	5
2014	7	6	Jul 5	=HYPERLINK("http://localhost:8000/2014/07/24/20140724-191511/IMG_0117.MOV")	Oak Island	North Carolina		keep	6
2014	7	7	Jul 6	=HYPERLINK("http://localhost:8000/2015/01/08/20150108-100706/IMG_0537.MOV")	Oak Island	North Carolina		keep	7
2014	7	8	Jul 7	=HYPERLINK("http://localhost:8000/2014/07/24/20140724-191511/IMG_0212.MOV")	Oak Island	North Carolina		keep	8
2014	7	135	Jul 8	=HYPERLINK("http://localhost:8000/2014/07/24/20140724-191511/IMG_0241.MOV")	Washington	District of Columbia		keep	135
