year	month	day	monthday	link	city	state
2014	08	16	Aug 16	=HYPERLINK("http://localhost:8000/2014/09/19/20140919-101128/IMG_1588.MOV")	Washington	District of Columbia
2014	08	17	Aug 17	=HYPERLINK("http://localhost:8000/2014/09/19/20140919-101128/IMG_1682.mov")	Southampton	New York
2014	08	17	Aug 17	=HYPERLINK("http://localhost:8000/2014/09/19/20140919-101128/IMG_1691.mov")	Washington	District of Columbia
2014	08	17	Aug 17	=HYPERLINK("http://localhost:8000/2014/09/19/20140919-101128/IMG_1685.MOV")	Southampton	New York
2014	08	17	Aug 17	=HYPERLINK("http://localhost:8000/2014/09/19/20140919-101128/IMG_1687.MOV")	Southampton	New York
2014	08	17	Aug 17	=HYPERLINK("http://localhost:8000/2014/09/19/20140919-101128/IMG_1692.mov")	Washington	District of Columbia
2014	08	17	Aug 17	=HYPERLINK("http://localhost:8000/2014/09/19/20140919-101128/IMG_1683.mov")	Southampton	New York
2014	08	17	Aug 17	=HYPERLINK("http://localhost:8000/2014/09/19/20140919-101128/IMG_1664.MOV")	Rocky Point	New York
2014	08	17	Aug 17	=HYPERLINK("http://localhost:8000/2014/09/19/20140919-101128/IMG_1679.MOV")	Southampton	New York
2014	08	18	Aug 18	=HYPERLINK("http://localhost:8000/2014/09/19/20140919-101128/IMG_1703.MOV")	Bladensburg	Maryland
2014	08	17	Aug 17	=HYPERLINK("http://localhost:8000/2014/09/19/20140919-101128/IMG_1670.MOV")	Rocky Point	New York
2014	08	20	Aug 20	=HYPERLINK("http://localhost:8000/2014/09/19/20140919-101128/IMG_1731.MOV")	Washington	District of Columbia
2014	08	20	Aug 20	=HYPERLINK("http://localhost:8000/2014/09/19/20140919-101128/IMG_1715.MOV")	Washington	District of Columbia
2014	08	21	Aug 21	=HYPERLINK("http://localhost:8000/2014/09/19/20140919-101128/IMG_1745.MOV")	Fortescue	New Jersey
2014	08	22	Aug 22	=HYPERLINK("http://localhost:8000/2014/09/19/20140919-101128/IMG_1748.MOV")	Henderson	Nevada
2014	08	17	Aug 17	=HYPERLINK("http://localhost:8000/2014/09/19/20140919-101128/IMG_1694.mov")	Washington	District of Columbia
2014	08	22	Aug 22	=HYPERLINK("http://localhost:8000/2014/09/19/20140919-101128/IMG_1755.MOV")	Henderson	Nevada
2014	08	22	Aug 22	=HYPERLINK("http://localhost:8000/2014/09/19/20140919-101128/IMG_1753.MOV")	Henderson	Nevada
2014	08	22	Aug 22	=HYPERLINK("http://localhost:8000/2014/09/19/20140919-101128/IMG_1756.MOV")	Henderson	Nevada
2014	08	22	Aug 22	=HYPERLINK("http://localhost:8000/2014/09/19/20140919-101128/IMG_1757.MOV")	Henderson	Nevada
2014	08	23	Aug 23	=HYPERLINK("http://localhost:8000/2014/09/19/20140919-101128/IMG_1771.MOV")	Henderson	Nevada
2014	08	23	Aug 23	=HYPERLINK("http://localhost:8000/2014/09/19/20140919-101128/IMG_1768.MOV")	Henderson	Nevada
2014	08	23	Aug 23	=HYPERLINK("http://localhost:8000/2014/09/19/20140919-101128/IMG_1775.MOV")	Henderson	Nevada
2014	08	16	Aug 16	=HYPERLINK("http://localhost:8000/2014/09/19/20140919-101128/IMG_1589.MOV")	Washington	District of Columbia
2014	08	24	Aug 24	=HYPERLINK("http://localhost:8000/2014/09/19/20140919-101128/IMG_1812.MOV")	Henderson	Nevada
2014	08	23	Aug 23	=HYPERLINK("http://localhost:8000/2014/09/19/20140919-101128/IMG_1786.MOV")	Henderson	Nevada
2014	08	24	Aug 24	=HYPERLINK("http://localhost:8000/2014/09/19/20140919-101128/IMG_1837.mov")	Washington	District of Columbia
2014	08	23	Aug 23	=HYPERLINK("http://localhost:8000/2014/09/19/20140919-101128/IMG_1784.MOV")	Henderson	Nevada
